player_fifa_api_id,player_name,overall_rating
176285,Winston Reid,80
45197,Xabi Alonso,84
10535,Xavi Hernandez,86
193348,Xherdan Shaqiri,80
184267,Yacine Brahimi,82
177683,Yann Sommer,82
208418,Yannick Ferreira-Carrasco,80
20289,Yaya Toure,85
200641,Yevheniy Konoplyanka,82
167943,Yohan Cabaye,80
41236,Zlatan Ibrahimovic,89
